#OTU ID	GF1cN	GF1cM	GF1sN	GF1sM	GF2cN	GF2cM	GF2sN	GF2sM	GF3cN	GF3cM	GF3sN	SG2cM	LG1cN	LG1cM	LG1sN	LG1sM	LG2cN	LG2cM	LG2sN	LG2sM	LG3cN	LG3cM	LG3sN	LG3sM	SG1cN	SG1cM	SG1sN	SG1sM	SG2cN	GF3sM	SG2sN	SG2sM	SG3cN	SG3cM	SG3sN	SG3sM	T1cN	T1cM	T1sN	T1sM	T2cN	T2cM	T2sN	T2sM	T3cN	T3cM	T3sN	T3sM
OTU_19	150	217	217	176	306	1017	48	126	356	96	194	8	326	40	67	212	0	52	0	0	80	147	363	191	106	12	101	0	170	281	0	87	317	120	214	315	193	47	77	6	18	91	2	217	122	115	65	38
OTU_219	2	8	0	4	12	294	4	0	3	1	3	0	0	3	1	0	0	3	0	0	3	11	0	2	1	0	0	0	2	0	0	0	1	9	0	0	17	13	1	0	3	7	0	0	1	2	2	2
OTU_649	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20	1	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1863	64	78	6	50	57	33	18	29	165	22	61
OTU_25	51	0	13	0	140	238	0	17	87	157	0	10	21	253	3	0	48	123	0	0	56	204	12	72	37	20	0	0	77	66	0	0	31	108	17	2	43	40	12	16	34	14	5	18	25	32	12	78
OTU_16	12	64	0	11	176	1337	39	24	8	130	0	0	210	0	56	0	225	104	15	0	451	5	23	8	90	26	24	0	36	79	0	16	127	14	9	0	203	286	6	13	111	64	4	4	81	145	2	201
OTU_68	7	0	0	0	0	15	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	1	5	0	0	0	0	0	11	0	0	0	8	1	0	38	12	0	0	0	2	0	0	4	0	468	0
OTU_514	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_331	4	0	0	0	0	85	0	0	48	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_239	27	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	18	3	0	0	50	0	18	0	0	0	0
OTU_153	10	0	0	0	0	178	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_805	31	0	0	0	0	11	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	42	5	11	12	0	0	4	1	2	1	4
OTU_39	10	0	30	0	0	28	10	1	5	14	0	5	193	0	0	73	0	3	4	0	0	26	27	14	0	8	34	0	80	8	0	0	24	29	52	0	105	52	11	10	117	129	6	137	67	62	31	9
OTU_907	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_421	25	0	7	0	0	0	0	0	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_158	8	0	0	0	0	86	0	22	72	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0
OTU_587	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_2	18	26	0	0	184	538	1	40	324	217	0	55	1445	701	449	199	968	1356	0	0	1182	1401	203	930	607	1708	0	182	896	894	0	0	3300	1410	339	0	200	142	5	5	0	83	5	36	84	7	0	46
OTU_148	4	41	0	23	0	0	0	11	18	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	131	0	15	0	0	0	1	0	18	0	0	0	2
OTU_56	8	0	1	0	91	206	141	11	43	35	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	216	8	8	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU_257	64	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_226	2	0	0	0	0	49	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	21	1	0
OTU_261	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	5	0
OTU_12	47	0	51	0	0	111	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	670	197	76	590	108	127	88	287	1217	290	705
OTU_64	35	0	19	0	67	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	85	29	30	68	0	1	0	12	77	1	30
OTU_79	8	0	56	14	21	63	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	3	0	0	0	0	6	0	72	1	4	0	0	4	0	0	3	0	23	20
OTU_75	6	0	35	7	29	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	30	62	7	2	33	0	142	32	0	46	0
OTU_118	11	0	0	243	81	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_71	15	19	0	6	0	76	0	14	36	92	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	2	0	29	75	3	1	33	16	1	1	133	73	17	21
OTU_293	3	0	26	0	7	86	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
