usearch v8.1.1861_i86linux32, 4.0Gb RAM (15.3Gb total), 4 cores
usearch -fastq_stats fastq/kf_stripped.fq -log stats.log 
Started Tue Jul  4 16:33:14 2017
00:07  46Mb  100.0% Reading fastq/kf_stripped.fq

Read length distribution
      L           N      Pct   AccPct
  146   100.0%  32.0  0.00063    0.0128   0.81   0.005550    0.555%
  147   100.0%  32.4  0.00063    0.0133   0.82   0.005603    0.560%
  148   100.0%  32.6   0.0005    0.0127   0.84   0.005651    0.565%
  149   100.0%  33.1   0.0005    0.0127   0.85   0.005698    0.570%
  150   100.0%  33.3   0.0005    0.0123   0.86   0.005742    0.574%
  151   100.0%  33.6   0.0004    0.0113   0.87   0.005779    0.578%
  152   100.0%  33.7   0.0004    0.0106   0.88   0.005811    0.581%
  153   100.0%  34.1   0.0004    0.0107   0.89   0.005842    0.584%
  154   100.0%  33.9   0.0004    0.0111   0.90   0.005876    0.588%
  155   100.0%  33.5   0.0004    0.0114   0.92   0.005912    0.591%
  156   100.0%  33.6   0.0004    0.0109   0.93   0.005944    0.594%
  157   100.0%  33.8   0.0004    0.0111   0.94   0.005977    0.598%
  158   100.0%  33.8   0.0004    0.0112   0.95   0.006010    0.601%
  159   100.0%  33.8   0.0004    0.0108   0.96   0.006040    0.604%
  160   100.0%  34.1   0.0004    0.0101   0.97   0.006065    0.607%
  161   100.0%  34.1   0.0004   0.00977   0.98   0.006088    0.609%
  162   100.0%  33.9   0.0004   0.00965   0.99   0.006110    0.611%
  163   100.0%  34.2   0.0004   0.00946   1.00   0.006131    0.613%
  164   100.0%  34.4   0.0004   0.00937   1.01   0.006151    0.615%
  165   100.0%  34.5   0.0004   0.00894   1.02   0.006168    0.617%
  166   100.0%  34.3   0.0004   0.00886   1.03   0.006184    0.618%
  167   100.0%  34.0   0.0004   0.00868   1.04   0.006199    0.620%
  168   100.0%  33.8   0.0004     0.009   1.04   0.006215    0.622%
  169   100.0%  32.5   0.0005    0.0102   1.05   0.006239    0.624%
  170   100.0%  31.5  0.00079    0.0109   1.07   0.006267    0.627%
  171   100.0%  31.1  0.00079    0.0113   1.08   0.006296    0.630%
  172   100.0%  30.9  0.00079    0.0115   1.09   0.006326    0.633%
  173   100.0%  30.6  0.00079    0.0117   1.10   0.006358    0.636%
  174   100.0%  30.7  0.00079    0.0117   1.11   0.006388    0.639%
  175   100.0%  30.8  0.00079    0.0117   1.12   0.006419    0.642%
  176   100.0%  30.9  0.00079    0.0113   1.13   0.006446    0.645%
  177   100.0%  30.9  0.00079    0.0113   1.15   0.006474    0.647%
  178   100.0%  30.3    0.001    0.0125   1.16   0.006508    0.651%
  179   100.0%  30.0    0.001    0.0131   1.17   0.006545    0.654%
  180   100.0%  30.3    0.001    0.0139   1.19   0.006586    0.659%
  181   100.0%  30.4    0.001    0.0136   1.20   0.006624    0.662%
  182   100.0%  31.5  0.00079    0.0117   1.21   0.006652    0.665%
  183   100.0%  30.9  0.00079    0.0125   1.22   0.006684    0.668%
  184   100.0%  31.3  0.00079    0.0114   1.23   0.006710    0.671%
  185   100.0%  31.7  0.00063    0.0106   1.25   0.006731    0.673%
  186   100.0%  31.9  0.00063    0.0107   1.26   0.006752    0.675%
  187   100.0%  32.0  0.00063    0.0106   1.27   0.006772    0.677%
  188   100.0%  32.5   0.0005    0.0101   1.28   0.006790    0.679%
  189   100.0%  32.9   0.0005   0.00943   1.29   0.006804    0.680%
  190   100.0%  32.5  0.00063   0.00964   1.30   0.006819    0.682%
  191   100.0%  32.7   0.0005   0.00949   1.31   0.006833    0.683%
  192   100.0%  32.8   0.0005   0.00922   1.31   0.006846    0.685%
  193   100.0%  32.6   0.0005   0.00966   1.32   0.006860    0.686%
  194   100.0%  32.5   0.0005    0.0098   1.33   0.006875    0.688%
  195   100.0%  32.7   0.0005   0.00977   1.34   0.006890    0.689%
  196   100.0%  32.6   0.0005   0.00969   1.35   0.006904    0.690%
  197   100.0%  33.1   0.0005   0.00895   1.36   0.006915    0.691%
  198   100.0%  33.1   0.0005   0.00903   1.37   0.006926    0.693%
  199   100.0%  33.1   0.0005    0.0089   1.38   0.006935    0.694%
  200   100.0%  33.1   0.0005   0.00899   1.39   0.006946    0.695%
  201   100.0%  33.6   0.0004   0.00878   1.40   0.006955    0.695%
  202   100.0%  33.9   0.0004   0.00871   1.41   0.006963    0.696%
  203   100.0%  33.8   0.0004   0.00897   1.42   0.006973    0.697%
  204   100.0%  33.7   0.0004     0.009   1.42   0.006983    0.698%
  205   100.0%  33.7   0.0004   0.00902   1.43   0.006993    0.699%
  206   100.0%  33.7   0.0004   0.00891   1.44   0.007003    0.700%
  207   100.0%  33.7   0.0004   0.00906   1.45   0.007012    0.701%
  208   100.0%  33.8   0.0004    0.0089   1.46   0.007022    0.702%
  209   100.0%  33.6   0.0004   0.00924   1.47   0.007032    0.703%
  210   100.0%  33.7   0.0004   0.00913   1.48   0.007042    0.704%
  211   100.0%  33.7   0.0004   0.00921   1.49   0.007052    0.705%
  212   100.0%  33.6   0.0004   0.00923   1.50   0.007063    0.706%
  213   100.0%  33.7   0.0004   0.00905   1.51   0.007072    0.707%
  214   100.0%  33.6   0.0004    0.0091   1.52   0.007082    0.708%
  215   100.0%  33.7   0.0004   0.00909   1.52   0.007091    0.709%
  216   100.0%  33.7   0.0004   0.00905   1.53   0.007100    0.710%
  217   100.0%  33.7   0.0004   0.00898   1.54   0.007109    0.711%
  218   100.0%  33.7   0.0004   0.00894   1.55   0.007117    0.712%
  219   100.0%  33.8   0.0004   0.00878   1.56   0.007125    0.712%
  220   100.0%  33.8   0.0004   0.00883   1.57   0.007132    0.713%
  221   100.0%  33.8   0.0004   0.00887   1.58   0.007140    0.714%
  222   100.0%  33.7   0.0004   0.00913   1.59   0.007149    0.715%
  223   100.0%  33.5   0.0005   0.00924   1.60   0.007159    0.716%
  224   100.0%  33.4   0.0005   0.00924   1.61   0.007168    0.717%
  225   100.0%  33.2   0.0005   0.00962   1.62   0.007179    0.718%
  226   100.0%  33.2   0.0005    0.0095   1.62   0.007189    0.719%
  227   100.0%  33.6   0.0004   0.00942   1.63   0.007199    0.720%
  228   100.0%  33.3   0.0005    0.0106   1.64   0.007214    0.721%
  229   100.0%  33.5   0.0004   0.00946   1.65   0.007223    0.722%
  230   100.0%  33.3   0.0005   0.00966   1.66   0.007234    0.723%
  231   100.0%  33.4   0.0005   0.00949   1.67   0.007244    0.724%
  232   100.0%  33.6   0.0004   0.00921   1.68   0.007252    0.725%
  233   100.0%  33.6   0.0004   0.00909   1.69   0.007260    0.726%
  234   100.0%  33.7   0.0004   0.00894   1.70   0.007267    0.727%
  235   100.0%  33.6   0.0004   0.00897   1.71   0.007275    0.727%
  236   100.0%  33.4   0.0005    0.0089   1.72   0.007281    0.728%
  237   100.0%  33.4   0.0005   0.00879   1.73   0.007288    0.729%
  238   100.0%  33.3   0.0005   0.00884   1.74   0.007294    0.729%
  239   100.0%  33.2   0.0005   0.00876   1.74   0.007301    0.730%
  240   100.0%  33.5   0.0005   0.00859   1.75   0.007306    0.731%
  241   100.0%  33.5   0.0004   0.00851   1.76   0.007311    0.731%
  242   100.0%  33.6   0.0004   0.00855   1.77   0.007316    0.732%
  243   100.0%  33.7   0.0004   0.00844   1.78   0.007320    0.732%
  244   100.0%  33.6   0.0004   0.00876   1.79   0.007326    0.733%
  245   100.0%  33.3   0.0005   0.00888   1.80   0.007333    0.733%
  246   100.0%  33.2   0.0005   0.00888   1.81   0.007339    0.734%
  247   100.0%  33.3   0.0005   0.00867   1.81   0.007344    0.734%
  248   100.0%  33.6   0.0004   0.00824   1.82   0.007348    0.735%
  249   100.0%  33.9   0.0004    0.0079   1.83   0.007350    0.735%
  250   100.0%  33.9   0.0004   0.00774   1.84   0.007352    0.735%
  251   100.0%  33.9   0.0004   0.00766   1.85   0.007353    0.735%
  252   100.0%  34.0   0.0004   0.00766   1.85   0.007354    0.735%
  253   100.0%  34.1   0.0004   0.00759   1.86   0.007355    0.736%
  254   100.0%  34.2   0.0004   0.00754   1.87   0.007356    0.736%
  255   100.0%  34.2   0.0004   0.00751   1.88   0.007357    0.736%
  256   100.0%  34.2   0.0004   0.00746   1.88   0.007357    0.736%
  257   100.0%  34.2   0.0004   0.00744   1.89   0.007357    0.736%
  258   100.0%  34.2   0.0004   0.00752   1.90   0.007358    0.736%
  259   100.0%  34.3   0.0004   0.00751   1.91   0.007358    0.736%
  260   100.0%  34.3   0.0004    0.0075   1.91   0.007359    0.736%
  261   100.0%  34.4   0.0004   0.00734   1.92   0.007359    0.736%
  262   100.0%  34.4   0.0004   0.00737   1.93   0.007359    0.736%
  263   100.0%  34.3   0.0004    0.0074   1.94   0.007359    0.736%
  264   100.0%  34.1   0.0004   0.00785   1.94   0.007361    0.736%
  265   100.0%  34.1   0.0004   0.00787   1.95   0.007363    0.736%
  266   100.0%  34.1   0.0004   0.00787   1.96   0.007365    0.736%
  267   100.0%  34.1   0.0004   0.00794   1.97   0.007367    0.737%
  268   100.0%  34.2   0.0004   0.00799   1.97   0.007369    0.737%
  269   100.0%  34.2   0.0004   0.00795   1.98   0.007371    0.737%
  270   100.0%  34.4   0.0004    0.0078   1.99   0.007373    0.737%
  271   100.0%  34.2   0.0004   0.00854   2.00   0.007377    0.738%
  272   100.0%  34.2   0.0004   0.00858   2.01   0.007382    0.738%
  273   100.0%  34.4   0.0004   0.00765   2.02   0.007383    0.738%
  274   100.0%  34.2   0.0004   0.00775   2.02   0.007384    0.738%
  275   100.0%  34.2   0.0004   0.00771   2.03   0.007385    0.739%
  276   100.0%  34.3   0.0004   0.00766   2.04   0.007386    0.739%
  277   100.0%  34.2   0.0004   0.00758   2.05   0.007387    0.739%
  278   100.0%  34.4   0.0004   0.00744   2.05   0.007387    0.739%
  279   100.0%  34.4   0.0004   0.00737   2.06   0.007387    0.739%
  280   100.0%  34.4   0.0004   0.00724   2.07   0.007386    0.739%
  281   100.0%  34.4   0.0004    0.0071   2.08   0.007385    0.739%
  282   100.0%  34.5   0.0004   0.00697   2.08   0.007384    0.738%
  283   100.0%  34.5   0.0004   0.00713   2.09   0.007383    0.738%
  284   100.0%  34.4   0.0004   0.00705   2.10   0.007382    0.738%
  285   100.0%  34.2   0.0004   0.00715   2.10   0.007381    0.738%
  286   100.0%  34.1   0.0004   0.00719   2.11   0.007380    0.738%
  287   100.0%  34.0   0.0004   0.00718   2.12   0.007380    0.738%
  288   100.0%  34.0   0.0004   0.00702   2.12   0.007378    0.738%
  289   100.0%  34.0   0.0004   0.00698   2.13   0.007377    0.738%
  290   100.0%  34.0   0.0004   0.00706   2.14   0.007376    0.738%
  291   100.0%  33.9   0.0004   0.00712   2.15   0.007375    0.738%
  292   100.0%  34.0   0.0004   0.00714   2.15   0.007374    0.737%
  293   100.0%  33.9   0.0004   0.00711   2.16   0.007373    0.737%
  294   100.0%  33.7   0.0004   0.00715   2.17   0.007373    0.737%
  295   100.0%  33.7   0.0004   0.00719   2.17   0.007372    0.737%
  296   100.0%  33.7   0.0004   0.00719   2.18   0.007371    0.737%
  297   100.0%  33.7   0.0004   0.00712   2.19   0.007370    0.737%
  298   100.0%  33.6   0.0004   0.00731   2.20   0.007370    0.737%
  299   100.0%  33.5   0.0005   0.00728   2.20   0.007370    0.737%
  300   100.0%  33.3   0.0005   0.00738   2.21   0.007370    0.737%
  301   100.0%  33.1   0.0005   0.00736   2.22   0.007370    0.737%
  302   100.0%  32.6   0.0005   0.00761   2.23   0.007371    0.737%
  303   100.0%  32.5   0.0005   0.00756   2.23   0.007371    0.737%
  304   100.0%  32.3  0.00063   0.00766   2.24   0.007372    0.737%
  305   100.0%  32.3  0.00063   0.00772   2.25   0.007374    0.737%
  306   100.0%  32.7   0.0005   0.00763   2.26   0.007374    0.737%
  307   100.0%  32.5   0.0005   0.00762   2.26   0.007375    0.738%
  308   100.0%  32.5  0.00063   0.00775   2.27   0.007376    0.738%
  309   100.0%  32.4  0.00063    0.0078   2.28   0.007378    0.738%
  310   100.0%  32.1  0.00063   0.00794   2.29   0.007380    0.738%
  311   100.0%  32.2  0.00063   0.00797   2.30   0.007381    0.738%
  312   100.0%  32.1  0.00063   0.00819   2.30   0.007384    0.738%
  313   100.0%  32.3  0.00063   0.00796   2.31   0.007386    0.739%
  314   100.0%  32.4  0.00063   0.00794   2.32   0.007388    0.739%
  315   100.0%  32.4  0.00063   0.00793   2.33   0.007389    0.739%
  316   100.0%  32.0  0.00063   0.00805   2.34   0.007391    0.739%
  317   100.0%  31.8  0.00063   0.00824   2.34   0.007394    0.739%
  318   100.0%  31.2  0.00079   0.00843   2.35   0.007397    0.740%
  319   100.0%  31.2  0.00079   0.00867   2.36   0.007401    0.740%
  320   100.0%  31.2  0.00079    0.0087   2.37   0.007405    0.741%
  321   100.0%  31.2  0.00079   0.00913   2.38   0.007411    0.741%
  322   100.0%  31.3  0.00079   0.00928   2.39   0.007417    0.742%
  323   100.0%  31.3  0.00079   0.00941   2.40   0.007423    0.742%
  324   100.0%  31.5  0.00063   0.00939   2.41   0.007429    0.743%
  325   100.0%  31.6  0.00063   0.00928   2.42   0.007435    0.743%
  326   100.0%  31.7  0.00063    0.0091   2.43   0.007440    0.744%
  327   100.0%  31.0  0.00079    0.0101   2.44   0.007448    0.745%
  328   100.0%  31.0  0.00079      0.01   2.45   0.007456    0.746%
  329   100.0%  31.2  0.00079   0.00973   2.46   0.007463    0.746%
  330   100.0%  31.4  0.00079   0.00959   2.46   0.007469    0.747%
  331   100.0%  31.6  0.00063   0.00943   2.47   0.007475    0.747%
  332   100.0%  31.4  0.00079   0.00944   2.48   0.007481    0.748%
  333   100.0%  31.4  0.00079   0.00945   2.49   0.007487    0.749%
  334   100.0%  31.5  0.00063   0.00945   2.50   0.007493    0.749%
  335   100.0%  31.5  0.00063    0.0095   2.51   0.007499    0.750%
  336   100.0%  31.8  0.00063   0.00935   2.52   0.007504    0.750%
  337   100.0%  31.8  0.00063   0.00937   2.53   0.007510    0.751%
  338   100.0%  31.8  0.00063   0.00942   2.54   0.007515    0.752%
  339   100.0%  31.6  0.00063   0.00947   2.55   0.007521    0.752%
  340   100.0%  31.4  0.00079   0.00957   2.56   0.007527    0.753%
  341   100.0%  31.2  0.00079    0.0097   2.57   0.007533    0.753%
  342   100.0%  31.1  0.00079   0.00989   2.58   0.007540    0.754%
  343   100.0%  30.7  0.00079    0.0102   2.59   0.007548    0.755%
  344   100.0%  30.5  0.00079    0.0104   2.60   0.007557    0.756%
  345   100.0%  30.2    0.001    0.0108   2.61   0.007566    0.757%
  346   100.0%  30.4    0.001    0.0107   2.62   0.007575    0.758%
  347   100.0%  30.2    0.001    0.0109   2.63   0.007585    0.758%
  348   100.0%  30.2    0.001     0.011   2.64   0.007595    0.759%
  349   100.0%  30.1    0.001    0.0109   2.65   0.007604    0.760%
  350   100.0%  30.0    0.001    0.0111   2.66   0.007614    0.761%
  351   100.0%  29.9    0.001    0.0111   2.68   0.007624    0.762%
  352   100.0%  30.0    0.001    0.0114   2.69   0.007635    0.763%
  353   100.0%  30.0    0.001    0.0121   2.70   0.007647    0.765%
  354   100.0%  29.8    0.001    0.0125   2.71   0.007661    0.766%
  355   100.0%  29.6    0.001     0.012   2.72   0.007673    0.767%
  356   100.0%  29.4   0.0013    0.0121   2.74   0.007686    0.769%
  357   100.0%  29.4   0.0013    0.0121   2.75   0.007698    0.770%
  358   100.0%  29.2   0.0013    0.0122   2.76   0.007710    0.771%
  359   100.0%  29.2   0.0013    0.0127   2.77   0.007724    0.772%
  360   100.0%  29.3   0.0013    0.0131   2.79   0.007739    0.774%
  361   100.0%  29.3   0.0013    0.0124   2.80   0.007752    0.775%
  362   100.0%  29.4   0.0013    0.0123   2.81   0.007765    0.776%
  363   100.0%  29.1   0.0013    0.0126   2.82   0.007778    0.778%
  364   100.0%  28.9   0.0013    0.0132   2.84   0.007793    0.779%
  365   100.0%  28.6   0.0013    0.0142   2.85   0.007811    0.781%
  366   100.0%  28.5   0.0013    0.0139   2.86   0.007827    0.783%
  367   100.0%  28.5   0.0016    0.0138   2.88   0.007843    0.784%
  368   100.0%  28.4   0.0016    0.0139   2.89   0.007860    0.786%
  369   100.0%  28.3   0.0016    0.0137   2.91   0.007876    0.788%
  370   100.0%  28.2   0.0016    0.0138   2.92   0.007892    0.789%
  371   100.0%  27.9   0.0016    0.0141   2.93   0.007909    0.791%
  372   100.0%  27.5   0.0016    0.0149   2.95   0.007927    0.793%
  373   100.0%  26.9    0.002    0.0161   2.97   0.007949    0.795%
  374   100.0%  26.9    0.002    0.0162   2.98   0.007971    0.797%
  375   100.0%  26.9    0.002    0.0162   3.00   0.007993    0.799%
  376   100.0%  26.9    0.002    0.0159   3.01   0.008014    0.801%
  377   100.0%  27.0    0.002    0.0155   3.03   0.008034    0.803%
  378   100.0%  26.6    0.002    0.0157   3.04   0.008054    0.805%
  379   100.0%  26.9    0.002    0.0155   3.06   0.008074    0.807%
  380   100.0%  26.7    0.002    0.0159   3.08   0.008095    0.809%
  381   100.0%  26.9    0.002     0.016   3.09   0.008115    0.812%
  382   100.0%  27.0    0.002    0.0153   3.11   0.008134    0.813%
  383   100.0%  26.7    0.002    0.0157   3.12   0.008154    0.815%
  384   100.0%  26.8    0.002    0.0157   3.14   0.008173    0.817%
  385   100.0%  26.7    0.002    0.0159   3.15   0.008194    0.819%
  386   100.0%  26.8    0.002    0.0159   3.17   0.008214    0.821%
  387   100.0%  26.6    0.002    0.0161   3.19   0.008234    0.823%
  388   100.0%  26.8    0.002    0.0162   3.20   0.008255    0.825%
  389   100.0%  26.8    0.002    0.0165   3.22   0.008276    0.828%
  390   100.0%  23.5    0.005    0.0198   3.24   0.008305    0.831%
  391   100.0%  23.3    0.005    0.0201   3.26   0.008336    0.834%
  392   100.0%  23.0    0.005    0.0203   3.28   0.008366    0.837%
  393   100.0%  23.0    0.005    0.0201   3.30   0.008396    0.840%
  394   100.0%  22.8    0.005    0.0204   3.32   0.008426    0.843%
  395   100.0%  22.6    0.005    0.0209   3.34   0.008458    0.846%
  396   100.0%  22.4   0.0063    0.0216   3.36   0.008491    0.849%
  397   100.0%  22.6    0.005    0.0213   3.38   0.008524    0.852%
  398   100.0%  22.7    0.005    0.0213   3.41   0.008556    0.856%
  399   100.0%  22.7    0.005    0.0212   3.43   0.008587    0.859%
  400   100.0%  22.6    0.005    0.0214   3.45   0.008619    0.862%
  401   100.0%  22.4   0.0063    0.0217   3.47   0.008652    0.865%
  402   100.0%  22.4   0.0063    0.0215   3.49   0.008684    0.868%
  403   100.0%  22.2   0.0063    0.0218   3.51   0.008716    0.872%
  404   100.0%  21.8   0.0063    0.0227   3.54   0.008751    0.875%
  405   100.0%  21.5   0.0063    0.0242   3.56   0.008789    0.879%
  406   100.0%  21.2   0.0079    0.0274   3.59   0.008835    0.884%
  407   100.0%  21.0   0.0079    0.0271   3.61   0.008880    0.888%
  408   100.0%  20.9   0.0079    0.0266   3.64   0.008923    0.892%
  409   100.0%  20.8   0.0079    0.0268   3.67   0.008967    0.897%
  410   100.0%  20.5     0.01    0.0279   3.70   0.009013    0.901%
  411   100.0%  20.6   0.0079    0.0284   3.72   0.009061    0.906%
  412   100.0%  20.7   0.0079    0.0283   3.75   0.009107    0.911%
  413   100.0%  20.7   0.0079    0.0281   3.78   0.009153    0.915%
  414   100.0%  21.1   0.0079    0.0268   3.81   0.009196    0.920%
  415   100.0%  21.3   0.0079    0.0263   3.83   0.009237    0.924%
  416   100.0%  21.5   0.0079    0.0261   3.86   0.009278    0.928%
  417   100.0%  21.7   0.0063    0.0255   3.88   0.009317    0.932%
  418   100.0%  21.8   0.0063     0.025   3.91   0.009354    0.935%
  419   100.0%  21.9   0.0063    0.0247   3.93   0.009391    0.939%
  420   100.0%  21.9   0.0063     0.025   3.96   0.009428    0.943%
  421   100.0%  21.9   0.0063    0.0247   3.98   0.009464    0.946%
  422   100.0%  21.9   0.0063    0.0246   4.01   0.009500    0.950%
  423   100.0%  21.9   0.0063    0.0247   4.03   0.009536    0.954%
  424   100.0%  21.9   0.0063    0.0248   4.06   0.009572    0.957%
  425   100.0%  22.0   0.0063    0.0252   4.08   0.009609    0.961%
  426   100.0%  21.9   0.0063    0.0254   4.11   0.009646    0.965%
  427   100.0%  21.7   0.0063    0.0255   4.13   0.009683    0.968%
  428   100.0%  21.8   0.0063    0.0251   4.16   0.009719    0.972%
  429   100.0%  21.9   0.0063    0.0248   4.18   0.009754    0.975%
  430   100.0%  21.8   0.0063    0.0249   4.21   0.009789    0.979%
  431   100.0%  21.7   0.0063    0.0251   4.23   0.009825    0.982%
  432   100.0%  21.6   0.0063    0.0255   4.26   0.009861    0.986%
  433   100.0%  21.5   0.0063    0.0258   4.29   0.009898    0.990%
  434   100.0%  21.5   0.0063    0.0259   4.31   0.009935    0.993%
  435   100.0%  21.4   0.0079    0.0265   4.34   0.009973    0.997%
  436   100.0%  21.6   0.0063    0.0262   4.36   0.010010    1.001%
  437   100.0%  21.4   0.0079    0.0267   4.39   0.010048    1.005%
  438   100.0%  21.5   0.0079    0.0266   4.42   0.010086    1.009%
  439   100.0%  21.5   0.0063    0.0263   4.44   0.010122    1.012%
  440   100.0%  21.5   0.0063    0.0262   4.47   0.010159    1.016%
  441   100.0%  21.6   0.0063    0.0253   4.50   0.010193    1.019%
  442   100.0%  21.7   0.0063     0.025   4.52   0.010227    1.023%
  443   100.0%  21.7   0.0063     0.025   4.55   0.010260    1.026%
  444   100.0%  21.7   0.0063     0.025   4.57   0.010293    1.029%
  445   100.0%  21.8   0.0063     0.025   4.60   0.010326    1.033%
  446   100.0%  22.0   0.0063    0.0248   4.62   0.010358    1.036%
  447   100.0%  21.8   0.0063     0.025   4.64   0.010391    1.039%
  448   100.0%  21.8   0.0063    0.0252   4.67   0.010424    1.042%
  449   100.0%  21.6   0.0063    0.0257   4.70   0.010458    1.046%
  450   100.0%  21.6   0.0063     0.026   4.72   0.010492    1.049%
  451    99.9%  21.4   0.0079    0.0268   4.75   0.010528    1.053%
  452    99.9%  21.6   0.0063    0.0267   4.77   0.010564    1.056%
  453    99.9%  21.5   0.0063    0.0272   4.80   0.010601    1.060%
  454    99.9%  21.5   0.0063    0.0269   4.83   0.010637    1.064%
  455    99.9%  21.5   0.0079    0.0274   4.86   0.010674    1.067%
  456    99.9%  21.3   0.0079    0.0282   4.88   0.010712    1.071%
  457    99.9%  21.2   0.0079    0.0281   4.91   0.010751    1.075%
  458    99.9%  21.2   0.0079    0.0275   4.94   0.010788    1.079%
  459    99.9%  21.3   0.0079    0.0272   4.97   0.010825    1.083%
  460    99.9%  21.5   0.0079    0.0272   5.00   0.010863    1.086%
  461    99.8%  21.3   0.0079    0.0277   5.03   0.010902    1.090%
  462    99.8%  21.3   0.0079    0.0276   5.05   0.010940    1.094%
  463    99.7%  21.3   0.0079    0.0274   5.08   0.010978    1.098%
  464    99.7%  21.2   0.0079     0.027   5.11   0.011015    1.101%
  465    99.6%  21.5   0.0079    0.0266   5.14   0.011051    1.105%
  466    99.6%  21.5   0.0079    0.0264   5.17   0.011087    1.109%
  467    99.5%  21.4   0.0079    0.0266   5.20   0.011124    1.112%
  468    99.4%  21.5   0.0079    0.0266   5.22   0.011162    1.116%
  469    99.3%  21.5   0.0079    0.0265   5.25   0.011200    1.120%
  470    99.1%  21.4   0.0079    0.0266   5.28   0.011241    1.124%
  471    98.9%  21.1   0.0079    0.0271   5.31   0.011284    1.128%
  472    98.7%  20.9   0.0079    0.0276   5.35   0.011333    1.133%
  473    98.3%  20.7   0.0079    0.0281   5.39   0.011392    1.139%
  474    97.9%  20.6   0.0079    0.0282   5.43   0.011451    1.145%
  475    97.4%  20.6   0.0079    0.0287   5.47   0.011506    1.151%
  476    97.1%  20.5   0.0079    0.0294   5.50   0.011559    1.156%
  477    96.7%  20.4     0.01    0.0316   5.54   0.011614    1.161%
  478    96.3%  20.1     0.01     0.031   5.58   0.011669    1.167%
  479    96.0%  19.8     0.01    0.0314   5.62   0.011723    1.172%
  480    95.7%  19.5    0.013    0.0319   5.65   0.011775    1.177%
  481    95.4%  19.4    0.013    0.0318   5.69   0.011823    1.182%
  482    95.1%  19.2    0.013     0.032   5.72   0.011870    1.187%
  483    94.8%  19.2    0.013    0.0322   5.76   0.011919    1.192%
  484    94.5%  19.2    0.013    0.0323   5.79   0.011968    1.197%
  485    94.2%  19.0    0.013    0.0328   5.83   0.012023    1.202%
  486    93.5%  18.5    0.016    0.0343   5.89   0.012111    1.211%
  487    92.8%  18.7    0.013    0.0338   5.94   0.012196    1.220%
  488    92.0%  18.3    0.016    0.0351   6.01   0.012306    1.231%
  489    89.6%  17.9    0.016    0.0362   6.16   0.012598    1.260%
  490    88.4%  17.7    0.016    0.0373   6.24   0.012744    1.274%
  491    87.6%  17.4     0.02    0.0386   6.31   0.012846    1.285%
  492    86.8%  17.2     0.02    0.0394   6.37   0.012956    1.296%
  493    85.9%  17.1     0.02    0.0403   6.45   0.013080    1.308%
  494    84.7%  17.4     0.02    0.0401   6.54   0.013238    1.324%
  495    83.5%  17.5     0.02    0.0402   6.63   0.013403    1.340%
  496    82.3%  17.6    0.016    0.0405   6.73   0.013570    1.357%
  497    81.1%  17.4     0.02    0.0441   6.83   0.013741    1.374%
  498    79.6%  17.2     0.02    0.0434   6.96   0.013973    1.397%
  499    77.8%  17.2     0.02    0.0413   7.10   0.014225    1.423%
  500    75.6%  17.1     0.02    0.0406   7.28   0.014567    1.457%
  501    73.3%  16.9     0.02    0.0414   7.48   0.014934    1.493%
  502    71.4%  16.8     0.02    0.0421   7.65   0.015231    1.523%
  503    68.7%  16.8     0.02    0.0427   7.90   0.015700    1.570%
  504    65.5%  16.6     0.02    0.0432   8.22   0.016315    1.631%
  505    63.3%  16.4    0.025    0.0442   8.46   0.016745    1.674%
  506    60.9%  16.4    0.025    0.0443   8.71   0.017211    1.721%
  507    58.3%  16.4    0.025    0.0446   9.02   0.017784    1.778%
  508    55.5%  16.6     0.02    0.0442   9.37   0.018445    1.844%
  509    53.7%  16.6     0.02    0.0447   9.60   0.018857    1.886%
  510    51.6%  16.4    0.025    0.0454   9.89   0.019399    1.940%
  511    49.8%  16.2    0.025    0.0463  10.14   0.019850    1.985%
  512    48.2%  16.2    0.025    0.0462  10.38   0.020272    2.027%
  513    46.8%  16.4    0.025    0.0456  10.60   0.020655    2.066%
  514    45.4%  16.4    0.025    0.0461  10.83   0.021067    2.107%
  515    44.1%  16.3    0.025     0.046  11.05   0.021457    2.146%
  516    42.7%  16.2    0.025    0.0466  11.30   0.021901    2.190%
  517    41.2%  16.1    0.025    0.0471  11.57   0.022372    2.237%
  518    39.9%  16.0    0.025    0.0481  11.83   0.022830    2.283%
  519    38.7%  16.0    0.025    0.0486  12.07   0.023254    2.325%
  520    37.4%  15.8    0.025    0.0494  12.35   0.023757    2.376%
  521    36.2%  15.5    0.032    0.0506  12.63   0.024240    2.424%
  522    35.0%  15.3    0.032    0.0509  12.91   0.024726    2.473%
  523    34.0%  15.2    0.032    0.0511  13.16   0.025167    2.517%
  524    33.1%  15.2    0.032    0.0511  13.38   0.025539    2.554%
  525    32.4%  15.2    0.032     0.051  13.59   0.025876    2.588%
  526    31.7%  15.1    0.032    0.0517  13.78   0.026198    2.620%
  527    31.0%  15.0    0.032    0.0518  13.97   0.026500    2.650%
  528    30.4%  14.9    0.032    0.0526  14.15   0.026805    2.681%
  529    29.8%  14.8    0.032    0.0536  14.35   0.027117    2.712%
  530    29.3%  14.7    0.032     0.055  14.54   0.027429    2.743%
  531    28.7%  14.4     0.04    0.0568  14.75   0.027775    2.778%
  532    28.0%  14.2     0.04    0.0595  14.99   0.028174    2.817%
  533    27.3%  13.9     0.04    0.0618  15.28   0.028665    2.866%
