usearch v8.1.1861_i86linux32, 4.0Gb RAM (15.3Gb total), 4 cores
usearch -fastq_stats fastq/kf_stripped.fq -log stats.log 
Started Tue Jul  4 16:33:14 2017
00:07  46Mb  100.0% Reading fastq/kf_stripped.fq

Read length distribution
      L           N      Pct   AccPct
    655         280     0.1%     8.0%
    654         271     0.0%     8.0%
    653         251     0.0%     8.1%
    652         277     0.1%     8.1%
    651         277     0.1%     8.2%
    650         246     0.0%     8.2%
    649         278     0.1%     8.3%
    648         261     0.0%     8.3%
    647         278     0.1%     8.4%
    646         267     0.0%     8.4%
    645         264     0.0%     8.5%
    644         281     0.1%     8.5%
    643         292     0.1%     8.6%
    642         276     0.1%     8.6%
    641         293     0.1%     8.7%
    640         276     0.1%     8.7%
    639         272     0.1%     8.8%
    638         268     0.0%     8.8%
    637         256     0.0%     8.9%
    636         291     0.1%     8.9%
    635         271     0.0%     9.0%
    634         280     0.1%     9.0%
    633         289     0.1%     9.1%
    632         286     0.1%     9.1%
    631         274     0.1%     9.2%
    630         263     0.0%     9.2%
    629         263     0.0%     9.3%
    628         252     0.0%     9.3%
    627         283     0.1%     9.4%
    626         270     0.0%     9.4%
    625         267     0.0%     9.5%
    624         287     0.1%     9.5%
    623         269     0.0%     9.6%
    622         286     0.1%     9.6%
    621         266     0.0%     9.7%
    620         282     0.1%     9.7%
    619         292     0.1%     9.8%
    618         290     0.1%     9.8%
    617         298     0.1%     9.9%
    616         259     0.0%     9.9%
    615         299     0.1%    10.0%
    614         304     0.1%    10.0%
    613         314     0.1%    10.1%
    612         306     0.1%    10.2%
    611         304     0.1%    10.2%
    610         291     0.1%    10.3%
    609         308     0.1%    10.3%
    608         301     0.1%    10.4%
    607         348     0.1%    10.4%
    606         281     0.1%    10.5%
    605         304     0.1%    10.6%
    604         319     0.1%    10.6%
    603         336     0.1%    10.7%
    602         304     0.1%    10.7%
    601         294     0.1%    10.8%
    600         312     0.1%    10.8%
    599         327     0.1%    10.9%
    598         316     0.1%    11.0%
    597         298     0.1%    11.0%
    596         315     0.1%    11.1%
    595         341     0.1%    11.1%
    594         321     0.1%    11.2%
    593         321     0.1%    11.3%
    592         322     0.1%    11.3%
    591         304     0.1%    11.4%
    590         351     0.1%    11.4%
    589         282     0.1%    11.5%
    588         324     0.1%    11.5%
    587         373     0.1%    11.6%
    586         353     0.1%    11.7%
    585         341     0.1%    11.7%
    584         370     0.1%    11.8%
    583         349     0.1%    11.9%
    582         357     0.1%    11.9%
    581         353     0.1%    12.0%
    580         361     0.1%    12.1%
    579         369     0.1%    12.1%
    578         396     0.1%    12.2%
    577         379     0.1%    12.3%
    576         365     0.1%    12.3%
    575         373     0.1%    12.4%
    574         400     0.1%    12.5%
    573         391     0.1%    12.6%
    572         383     0.1%    12.6%
    571         415     0.1%    12.7%
    570         431     0.1%    12.8%
    569         416     0.1%    12.9%
    568         471     0.1%    13.0%
    567         448     0.1%    13.0%
    566         502     0.1%    13.1%
    565         516     0.1%    13.2%
    564         584     0.1%    13.3%
    563         585     0.1%    13.4%
    562         637     0.1%    13.6%
    561         610     0.1%    13.7%
    560         692     0.1%    13.8%
    559         822     0.2%    13.9%
    558         970     0.2%    14.1%
    557         934     0.2%    14.3%
    556         947     0.2%    14.5%
    555        1048     0.2%    14.7%
    554        1125     0.2%    14.9%
    553        1241     0.2%    15.1%
    552        1480     0.3%    15.4%
    551        1712     0.3%    15.7%
    550        1858     0.3%    16.0%
    549        2262     0.4%    16.4%
    548        2179     0.4%    16.8%
    547        2096     0.4%    17.2%
    546        2379     0.4%    17.7%
    545        3115     0.6%    18.2%
    544        3370     0.6%    18.9%
    543        2901     0.5%    19.4%
    542        3026     0.6%    20.0%
    541        3516     0.6%    20.6%
    540        4053     0.7%    21.4%
    539        5365     1.0%    22.3%
    538        5323     1.0%    23.3%
    537        6353     1.2%    24.5%
    536        4896     0.9%    25.4%
    535        3570     0.7%    26.1%
    534        3316     0.6%    26.7%
    533        3627     0.7%    27.3%
    532        3784     0.7%    28.0%
    531        3459     0.6%    28.7%
    530        3203     0.6%    29.3%
    529        3074     0.6%    29.8%
    528        3206     0.6%    30.4%
    527        3365     0.6%    31.0%
    526        3444     0.6%    31.7%
    525        3823     0.7%    32.4%
    524        4102     0.8%    33.1%
    523        4660     0.9%    34.0%
    522        5594     1.0%    35.0%
    521        6438     1.2%    36.2%
    520        6564     1.2%    37.4%
